# ----------------------------------------
# Engagement
# Account: Default Account for Firebase
# Property: ravamate
# ----------------------------------------
#  
# Start date: 20241001
# End date: 20260911
Nth week,Active users
0040,4
0041,18
0042,27
0043,27
0044,29
0045,53
0046,34
0047,33
0048,30
0049,10
0050,30
0051,36
0052,44
0053,10
0054,37
0055,32
0056,12
0057,6
0058,26
0059,52
0060,69
0061,82
0062,72
0063,75
0064,48
0065,29
0066,56
0067,62
0068,113
0069,111
0070,158
0071,169
0072,180
0073,196
0074,227
0075,241
0076,272
0077,286
0078,270
0079,310
0080,348
0081,353
0082,355
0083,356
0084,346
0085,352
0086,348
0087,354
0088,371
0089,387
0090,410
0091,405
0092,428
0093,424
0094,449
0095,492
0096,529
0097,619
0098,750
0099,729
0100,734
0101,733

# Start date: 20241001
# End date: 20260911
Nth week,New users
0040,4
0041,18
0042,24
0043,20
0044,21
0045,43
0046,21
0047,21
0048,20
0049,8
0050,26
0051,25
0052,28
0053,4
0054,21
0055,21
0056,3
0057,3
0058,18
0059,40
0060,33
0061,26
0062,10
0063,22
0064,3
0065,0
0066,8
0067,11
0068,52
0069,21
0070,46
0071,33
0072,38
0073,25
0074,44
0075,34
0076,45
0077,38
0078,10
0079,34
0080,53
0081,40
0082,21
0083,18
0084,6
0085,13
0086,8
0087,9
0088,21
0089,39
0090,24
0091,14
0092,23
0093,7
0094,21
0095,57
0096,69
0097,112
0098,156
0099,32
0100,21
0101,14

# How are active users trending?
# Start date: 20241001
# End date: 20260911
Nth day,30 days,7 days,1 day
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,0,0,0
0022,0,0,0
0023,0,0,0
0024,0,0,0
0025,0,0,0
0026,0,0,0
0027,0,0,0
0028,0,0,0
0029,0,0,0
0030,0,0,0
0031,0,0,0
0032,0,0,0
0033,0,0,0
0034,0,0,0
0035,0,0,0
0036,0,0,0
0037,0,0,0
0038,0,0,0
0039,0,0,0
0040,0,0,0
0041,0,0,0
0042,0,0,0
0043,0,0,0
0044,0,0,0
0045,0,0,0
0046,0,0,0
0047,0,0,0
0048,0,0,0
0049,0,0,0
0050,0,0,0
